%time,field.data
1678477953244529926,-0.200839266181
1678477953284488689,-0.200572669506
1678477953324211289,-0.200748130679
1678477953324291371,-0.200735509396
1678477953364355068,-0.200582802296
1678477953404387196,-0.200493350625
1678477953404446328,-0.200892165303
1678477953444263102,-0.20060415566
1678477953444300953,-0.200620487332
1678477953484496367,-0.200520247221
1678477953484549648,-0.200788885355
1678477953524398175,-0.200616821647
1678477953564460559,-0.200655728579
1678477953564577492,-0.200633302331
1678477953604165380,-0.200585186481
1678477953604201688,-0.200669690967
1678477953644364262,-0.200732916594
1678477953684495981,-0.200619265437
1678477953724373981,-0.200467184186
1678477953724421924,-0.200547620654
1678477953764282650,-0.200613185763
1678477953804461788,-0.200523123145
1678477953804525596,-0.200572118163
1678477953844303020,-0.200788229704
1678477953844483546,-0.200628906488
1678477953884556989,-0.200558558106
1678477953884623057,-0.200722262263
1678477953944459463,-0.200741007924
1678477953984466592,-0.200520128012
1678477953984509980,-0.200584322214
1678477954027518921,-0.200636148453
1678477954027768941,-0.200647816062
1678477954064383621,-0.200601503253
1678477954064418546,-0.200660422444
1678477954104596006,-0.200703263283
1678477954144510284,-0.200526639819
1678477954144566890,-0.200710237026
1678477954184437433,-0.200650826097
1678477954184478400,-0.200693890452
1678477954226295066,-0.20061211288
1678477954264632703,-0.20080254972
1678477954304492575,-0.200568392873
1678477954304598757,-0.200725242496
1678477954344557768,-0.200630545616
1678477954384237312,-0.200881794095
1678477954384433500,-0.200711101294
1678477954424473489,-0.200940698385
1678477954424512887,-0.200881227851
1678477954464556799,-0.200771838427
1678477954464617975,-0.200739353895
1678477954504527311,-0.200866505504
1678477954544476546,-0.20097322762
1678477954544524859,-0.200856402516
1678477954584425777,-0.200776532292
1678477954584469091,-0.200870618224
1678477954624611209,-0.200970217586
1678477954664323026,-0.200849145651
1678477954704523044,-0.200897142291
1678477954724518139,-0.200959444046
1678477954724557989,-0.200906276703
1678477954764273155,-0.200862601399
1678477954764342563,-0.200832977891
1678477954804454213,-0.200784996152
1678477954804689813,-0.200801640749
1678477954846246957,-0.20089673996
1678477954884451315,-0.200810536742
1678477954924667875,-0.20095923543
1678477954964316579,-0.200914055109
1678477954964525824,-0.201004162431
1678477955004449107,-0.200738236308
1678477955004533652,-0.200876653194
1678477955044498634,-0.200894504786
1678477955044573641,-0.200742065907
1678477955084551962,-0.2007997334
1678477955124579533,-0.200811013579
1678477955124639465,-0.200797259808
1678477955164227028,-0.200890988111
1678477955164260871,-0.200886785984
1678477955204413439,-0.200905054808
1678477955204449705,-0.200922161341
1678477955244553179,-0.200820252299
1678477955287240355,-0.200936868787
1678477955337747215,-0.200858622789
1678477955374487657,-0.200985446572
1678477955374519287,-0.200773537159
1678477955415684362,-0.201048791409
1678477955415897653,-0.200798809528
1678477955454706778,-0.200986891985
1678477955454750119,-0.200878024101
1678477955494489855,-0.200692415237
1678477955534115573,-0.200751453638
1678477955534126666,-0.20076559484
1678477955574592773,-0.200891464949
1678477955574638883,-0.200741663575
1678477955614469452,-0.200868651271
1678477955614671375,-0.200935781002
1678477955654639634,-0.200774818659
1678477955694468934,-0.200774013996
1678477955694702760,-0.200863212347
1678477955736366903,-0.20076481998
1678477955774623123,-0.200790181756
1678477955814529509,-0.200871989131
1678477955814569204,-0.200970157981
1678477955854554597,-0.200862005353
1678477955894370459,-0.200790822506
1678477955894580183,-0.200802132487
1678477955934480998,-0.201116040349
1678477955934638338,-0.201299294829
1678477955974585560,-0.201344281435
1678477955974628418,-0.201318010688
1678477956014533372,-0.202108994126
1678477956014599430,-0.203958705068
1678477956054575700,-0.206514775753
1678477956094595263,-0.208087489009
1678477956094654222,-0.209597438574
1678477956134615087,-0.212256833911
1678477956176653286,-0.216257095337
1678477956214552945,-0.221107378602
1678477956214622424,-0.226116150618
1678477956254633792,-0.231582298875
