%time,field.data
1678407937966572574,-0.0259144492447
1678407938005709693,-0.024101216346
1678407938045542294,-0.0252005159855
1678407938045574710,-0.024772297591
1678407938085721755,-0.0230240020901
1678407938085779059,-0.0244755130261
1678407938125640705,-0.0251661855727
1678407938165703553,-0.0237648971379
1678407938165760141,-0.025234863162
1678407938205731066,-0.0230601653457
1678407938205779501,-0.0244730394334
1678407938245703844,-0.0250809174031
1678407938245745551,-0.0247807316482
1678407938285636011,-0.0239660870284
1678407938285758927,-0.0226984396577
1678407938330541367,-0.0242814738303
1678407938365605765,-0.0238276720047
1678407938405739070,-0.0248367469758
1678407938445250976,-0.02436696738
1678407938445261110,-0.024140752852
1678407938485810046,-0.0245562307537
1678407938485858821,-0.0227631367743
1678407938525537965,-0.0220872927457
1678407938567380927,-0.0258072074503
1678407938567436503,-0.0249915551394
1678407938605603099,-0.025044567883
1678407938605648199,-0.023398341611
1678407938645689790,-0.0243657883257
1678407938645762264,-0.0247562751174
1678407938685814850,-0.0237960740924
1678407938726372432,-0.0242915321141
1678407938726529663,-0.0246046707034
1678407938765744982,-0.0244912132621
1678407938765791596,-0.025100197643
1678407938805724155,-0.0239522960037
1678407938845825486,-0.0238110180944
1678407938885724523,-0.0234957188368
1678407938885781579,-0.0235120784491
1678407938945807621,-0.0251146387309
1678407938945853275,-0.0235517453402
1678407938945905511,-0.0237842649221
1678407938985652893,-0.024056551978
1678407938985730127,-0.0243319552392
1678407939025854990,-0.0234974455088
1678407939065811917,-0.0251195952296
1678407939105662554,-0.0245507210493
1678407939145723922,-0.0258559919894
1678407939145762193,-0.0237128064036
1678407939185801463,-0.026983063668
1678407939185862525,-0.0245720073581
1678407939225764424,-0.0237307306379
1678407939225869536,-0.024209741503
1678407939265724584,-0.0234704073519
1678407939265776148,-0.0235246270895
1678407939305888002,-0.0233290679753
1678407939345581129,-0.0248577911407
1678407939345633045,-0.0249333642423
1678407939386185466,-0.0255593452603
1678407939425708461,-0.0241770055145
1678407939465675576,-0.0251041445881
1678407939465742582,-0.0246318355203
1678407939511068863,-0.025243807584
1678407939545675418,-0.0249070227146
1678407939545738360,-0.0263271778822
