%time,field.data
1678158423223633768,-0.0179209075868
1678158423224064112,-0.0244628507644
1678158423225208567,-0.0230666771531
1678158423267553236,-0.0258308649063
1678158423267926280,-0.0251811947674
1678158423280415825,-0.0264249034226
1678158423299578516,-0.0262814257294
1678158423343097935,-0.025023335591
1678158423343489667,-0.0247342512012
1678158423387182764,-0.025757458061
1678158423387254574,-0.026046089828
1678158423431483619,-0.0255667641759
1678158423432901486,-0.0276468805969
1678158423475253144,-0.0241598337889
1678158423478850010,-0.0293364152312
1678158423518624224,-0.0302195213735
1678158423519737702,-0.0258076582104
1678158423564452418,-0.0331848599017
1678158423565405540,-0.0330375432968
1678158423565659647,-0.0315535999835
1678158423607251066,-0.0286711119115
1678158423608059090,-0.0295028947294
1678158423619623685,-0.029383091256
1678158423640062815,-0.0295064710081
1678158423683583661,-0.029944749549
1678158423684363772,-0.0297530833632
1678158423730682456,-0.0327341780066
1678158423732281136,-0.0335034579039
1678158423779001288,-0.027859903872
1678158423779022905,-0.0262859258801
1678158423822395911,-0.029011439532
1678158423823262625,-0.0307602919638
1678158423823314287,-0.0299703236669
1678158423870352912,-0.0289102271199
1678158423870866060,-0.0297811944038
1678158423879029415,-0.0345552302897
1678158423899433311,-0.0329367220402
1678158423947295412,-0.0351555272937
1678158423948344529,-0.0300875622779
1678158423991640922,-0.0294261723757
1678158423991779520,-0.031096547842
1678158424035358759,-0.026631783694
1678158424035443329,-0.028755325824
1678158424079551563,-0.0288053099066
1678158424079586989,-0.032346919179
1678158424123181520,-0.028936734423
1678158424124924348,-0.0276441462338
1678158424127141266,-0.0282730385661
1678158424167670806,-0.0310756061226
1678158424168602949,-0.0334078408778
1678158424180054171,-0.037269115448
1678158424199500070,-0.0336847603321
1678158424246746756,-0.0315735898912
1678158424248583607,-0.0344965308905
1678158424296447237,-0.0345690250397
1678158424296474178,-0.0328256748617
1678158424339554055,-0.0333626829088
1678158424340895743,-0.0318432413042
1678158424382260463,-0.0319640040398
1678158424382894658,-0.0281656384468
1678158424383830041,-0.0335603244603
1678158424428205935,-0.0282256640494
1678158424428437360,-0.0264830030501
1678158424439671078,-0.0229187831283
1678158424459918265,-0.0253189839423
1678158424507292612,-0.028749467805
1678158424508079467,-0.0327709726989
1678158424551844961,-0.0268467403948
1678158424552563268,-0.0298319179565
1678158424595529840,-0.0251478534192
1678158424597297900,-0.0223530977964
1678158424638196876,-0.021803824231
1678158424639468667,-0.0262860804796
1678158424687146581,-0.0263664778322
1678158424688996558,-0.0233161076903
1678158424689638112,-0.0265514925122
1678158424730871378,-0.0265759956092
1678158424731783075,-0.0248017646372
1678158424739450969,-0.0238365661353
1678158424760746145,-0.0264061279595
1678158424808487407,-0.0295653175563
1678158424808558918,-0.0242696907371
1678158424856437143,-0.0263308975846
1678158424856751072,-0.0227033253759
1678158424898685715,-0.0224076919258
1678158424899093045,-0.0240509416908
1678158424947605428,-0.0252581723034
1678158424948537135,-0.0243308264762
1678158424952008712,-0.0236622299999
1678158424991791164,-0.0263754371554
1678158424991813485,-0.0282637495548
1678158425000082213,-0.0238174423575
1678158425019433571,-0.0231803935021
1678158425068286260,-0.0250366013497
1678158425068570306,-0.0278279837221
1678158425110893188,-0.0263366419822
1678158425111817637,-0.02554753609
1678158425159684468,-0.026553330943
1678158425159702397,-0.0254032257944
1678158425202849823,-0.0247170422226
1678158425204263699,-0.0267679598182
1678158425205862056,-0.0248885080218
1678158425246229827,-0.0279217567295
1678158425246788102,-0.0245179664344
1678158425258938816,-0.0240729525685
1678158425279132876,-0.0271405503154
1678158425322663151,-0.0281961914152
1678158425323300200,-0.0294444039464
1678158425366609442,-0.0244395602494
1678158425368149507,-0.0211994946003
1678158425410838810,-0.024295354262
1678158425411709427,-0.0238639432937
1678158425455742025,-0.0227151159197
1678158425456240271,-0.0276148431003
1678158425498742100,-0.024303868413
1678158425499694739,-0.0263035204262
1678158425542847664,-0.0227577853948
1678158425542867814,-0.0237171575427
1678158425543374628,-0.0277098137885
1678158425590934862,-0.0257484689355
1678158425591803371,-0.0276847910136
1678158425599347854,-0.0263486113399
1678158425619653970,-0.0295433998108
1678158425662978501,-0.0266983397305
1678158425663579629,-0.0293381735682
1678158425706656549,-0.0293858572841
1678158425707037202,-0.0237051714212
1678158425751180951,-0.024228900671
1678158425752160080,-0.0235106442124
1678158425794904717,-0.0239523462951
1678158425796083911,-0.0284080598503
1678158425839633156,-0.0242696106434
1678158425840696969,-0.0229462925345
1678158425887126411,-0.0255439132452
1678158425888830319,-0.0269140414894
1678158425890253105,-0.0262728184462
1678158425931578387,-0.0235054362565
1678158425932669097,-0.0229093860835
1678158425940028902,-0.0233685486019
1678158425960199824,-0.0257866345346
1678158426003477318,-0.0248376298696
1678158426004696085,-0.0285561196506
1678158426051115964,-0.0273625124246
1678158426052251854,-0.0299068074673
1678158426095864327,-0.02496172674
1678158426096974757,-0.0244467519224
1678158426143486628,-0.0258566718549
1678158426143501333,-0.0272696353495
1678158426144582786,-0.0238272938877
1678158426187847020,-0.0208824332803
1678158426187868594,-0.025350144133
1678158426199872600,-0.0230228565633
1678158426220030196,-0.0257002357394
1678158426263366420,-0.0299602933228
1678158426264072760,-0.0210025124252
1678158426306569118,-0.0263830646873
1678158426306842605,-0.0278172362596
1678158426351179209,-0.0279898867011
1678158426351848717,-0.0292210895568
1678158426395515174,-0.0305950678885
1678158426396225807,-0.0299528166652
1678158426439354960,-0.0277082361281
1678158426440731119,-0.0283054467291
1678158426483340007,-0.029222715646
1678158426484606948,-0.026213446632
1678158426486672834,-0.0289800167084
1678158426526767933,-0.0288231428713
1678158426527001616,-0.0309605300426
1678158426539629803,-0.0316988453269
1678158426559598444,-0.0313515327871
1678158426607605691,-0.0273417904973
1678158426608650804,-0.0315509550273
1678158426650870420,-0.0287241637707
1678158426652805678,-0.030635073781
1678158426699475948,-0.0314454957843
1678158426700298891,-0.0293120108545
1678158426747898759,-0.0279118325561
1678158426748042812,-0.0245421603322
1678158426748892126,-0.0232337079942
1678158426791463260,-0.0264972727746
1678158426791489527,-0.0250467378646
1678158426799673061,-0.027268435806
1678158426819278194,-0.0245286617428
1678158426864126527,-0.0285274107009
1678158426865102613,-0.0275221113116
1678158426908000403,-0.0292457919568
1678158426909083622,-0.0309932660311
