%time,field.x,field.y,field.z
1678917421985641635,263.0,252.0,0.0
1678917425977572258,262.0,341.0,0.0
1678917493160618600,499.0,210.0,0.0
1678917497638731858,511.0,261.0,0.0
1678917545379197970,297.0,185.0,0.0
1678917548655636128,296.0,215.0,0.0
1678917591124745901,416.0,175.0,0.0
1678917593419016011,416.0,195.0,0.0
