%time,field.data
1678311034423298407,0.517744600773
1678311034423354702,0.517346560955
1678311034423380157,0.517581820488
1678311034423407508,0.517453193665
1678311034423474881,0.516883552074
1678311034423740215,0.516948699951
1678311034423762240,0.517103135586
1678311034423810647,0.51706135273
1678311034423839817,0.517278671265
1678311034423899136,0.517567634583
1678311034423948836,0.517567455769
1678311034423965478,0.517382621765
1678311034423979480,0.516826510429
1678311034424000936,0.517144382
1678311034424046629,0.517851233482
1678311034424072651,0.518118321896
1678311034424109389,0.518707811832
1678311034424156001,0.518244981766
1678311034435377571,0.518024742603
1678311034460776444,0.518226385117
1678311034482954481,0.518024384975
1678311034498797433,0.518415093422
1678311034514532469,0.51849001646
1678311034550816997,0.518657207489
1678311034559165739,0.518307328224
1678311034585643783,0.517609298229
1678311034636016949,0.517941117287
1678311034654716643,0.518653094769
1678311034674948055,0.518360078335
1678311034684241090,0.51851350069
1678311034723645573,0.518734753132
1678311034750785342,0.518147706985
1678311034783017651,0.518699884415
1678311034783040221,0.518259584904
1678311034810850280,0.51805883646
1678311034855236586,0.518408060074
1678311034878105627,0.518281280994
1678311034898938957,0.518745422363
1678311034910300235,0.51840955019
1678311034951985840,0.518168449402
1678311034962846799,0.51801353693
1678311034994692637,0.518186986446
1678311035036018094,0.518039882183
1678311035055139560,0.51814198494
1678311035078480657,0.518403589725
1678311035085225032,0.518287062645
1678311035122867450,0.518603622913
1678311035136005946,0.51854288578
1678311035160240329,0.518130898476
1678311035204914038,0.5180965662
1678311035222742881,0.518239200115
1678311035250803070,0.518457770348
1678311035261937172,0.518533110619
1678311035298907748,0.518647670746
1678311035310954527,0.518612325191
1678311035335038023,0.518015086651
1678311035346665895,0.5182710886
1678311035386371969,0.518462777138
1678311035426891237,0.518887639046
1678311035435325432,0.51808488369
1678311035474766923,0.518231630325
1678311035490423509,0.518315851688
1678311035539546073,0.518064141273
1678311035564746854,0.518125593662
1678311035586647301,0.51816958189
1678311035606718497,0.518384873867
1678311035627117908,0.518311738968
1678311035650911801,0.5184866786
1678311035678881886,0.518629252911
1678311035699162520,0.518778681755
1678311035711028836,0.517791986465
1678311035736002921,0.518268704414
1678311035746825342,0.518070936203
1678311035785277331,0.51857227087
1678311035831176284,0.5186226964
1678311035859153398,0.517884790897
1678311035878983359,0.517943501472
1678311035886257989,0.518329501152
1678311035921346059,0.518687188625
1678311035936109552,0.518267393112
1678311035961381418,0.51841044426
1678311036011741686,0.517289757729
1678311036030734557,0.515468001366
1678311036051200424,0.511776268482
1678311036060311363,0.511011242867
1678311036098947009,0.504306137562
1678311036110286745,0.489952981472
1678311036136811552,0.475062102079
1678311036146749432,0.458427667618
1678311036190563542,0.438073545694
1678311036227273177,0.412275135517
1678311036235359813,0.383810073137
1678311036274809877,0.353172630072
1678311036291477123,0.328100025654
1678311036327145281,0.306685209274
1678311036339649476,0.277406841516
1678311036361778504,0.242279216647
1678311036410574147,0.216327220201
1678311036435802510,0.19969394803
1678311036468174781,0.173000469804
1678311036468196956,0.15483058989
1678311036540990100,0.136742889881
1678311036575331097,0.118105366826
1678311036575365720,0.101373687387
1678311036727211826,0.0933330580592
1678311036727327325,0.0636790171266
1678311036838362563,0.0576244592667
1678311036838399359,0.0306213628501
1678311036838445626,0.0154030164704
1678311036838492537,0.0120008122176
1678311036838520271,-0.0139101063833
1678311036838562625,-0.0327263139188
1678311036866803418,-0.0446323268116
1678311036866868392,-0.0593299865723
1678311036866886306,-0.0727768391371
1678311036878934466,-0.0797449201345
1678311036879049390,-0.0885174199939
1678311036903057556,-0.0979455113411
1678311036913306785,-0.108433969319
1678311036938684683,-0.11811029911
1678311036983206263,-0.124297238886
1678311037003109436,-0.135653048754
1678311037023905486,-0.143396884203
1678311037040303373,-0.122429095209
1678311037078799473,-0.155229061842
1678311037088751244,-0.147854909301
1678311037112999555,-0.163006171584
1678311037154844562,-0.16702914238
1678311037178809018,-0.187433257699
1678311037203188746,-0.187928304076
1678311037212880940,-0.186269894242
1678311037255244009,-0.18970875442
1678311037263966053,-0.20210634172
1678311037289932055,-0.20509262383
1678311037339314223,-0.197407335043
1678311037359267648,-0.180673524737
1678311037378786013,-0.170961350203
1678311037389292298,-0.149505093694
1678311037427167611,-0.144913166761
1678311037439034979,-0.111435905099
1678311037464946022,-0.0838122665882
1678311037474945300,-0.0438240766525
1678311037561270324,-0.00398753583431
1678311037630249704,0.0347020551562
1678311037630271896,0.0689081996679
1678311037658423371,0.00446644658223
1678311037658457272,0.00574285816401
1678311037658468337,0.0177779588848
1678311037658479546,0.0173297505826
