%time,field.data
1684098374706694488,9.60000038147
1684098374751733455,13.0
1684098374782054234,23.0
1684098374818716672,21.0
1684098374855659121,31.6000003815
1684098374887992896,32.0
1684098374930419702,28.3999996185
1684098374969217955,18.2000007629
1684098375004628178,18.6000003815
1684098375040222091,15.1999998093
1684098375077283770,19.2000007629
1684098375113484717,17.0
1684098375151971409,16.7999992371
1684098375193107978,14.3999996185
1684098375227692471,7.80000019073
1684098375265128338,7.80000019073
1684098375297466117,4.19999980927
1684098375334860529,1.60000002384
1684098375372705787,0.40000000596
1684098375408973821,12.8000001907
1684098375441009030,9.0
1684098375474627504,12.3999996185
1684098375509932337,16.7999992371
1684098375545719813,17.6000003815
1684098375578281658,2.20000004768
1684098375611979303,2.0
1684098375645516079,-1.0
1684098375680346751,-2.79999995232
1684098375719298624,-3.20000004768
1684098375753737823,-1.0
1684098375790321486,0.800000011921
1684098375817636803,5.40000009537
1684098375858250755,7.80000019073
1684098375892095761,32.7999992371
1684098375928474482,28.2000007629
1684098375963641620,25.7999992371
1684098375999204468,23.7999992371
1684098376031861359,18.3999996185
1684098376066468458,-8.0
1684098376102718879,0.0
1684098376136031239,-1.0
1684098376172208160,1.20000004768
1684098376211400249,4.19999980927
1684098376245548082,11.8000001907
1684098376277356859,7.19999980927
1684098376318184762,9.80000019073
1684098376353062462,7.59999990463
1684098376391510180,2.40000009537
1684098376426143158,-3.40000009537
1684098376467490410,-2.40000009537
1684098376497589505,-2.79999995232
1684098376537681199,-1.60000002384
1684098376565072905,2.79999995232
1684098376601747167,8.60000038147
1684098376638119529,9.19999980927
1684098376672377087,3.40000009537
1684098376706098143,1.0
1684098376743708263,2.79999995232
1684098376777895378,-6.80000019073
1684098376811642696,-5.80000019073
1684098376845604558,0.0
1684098376883527327,3.79999995232
1684098376917475985,2.0
1684098376954249161,4.19999980927
1684098376994536024,6.0
1684098377023035543,5.80000019073
1684098377056712568,14.1999998093
1684098377094305568,15.6000003815
1684098377129752838,16.3999996185
1684098377170821831,9.60000038147
1684098377205404712,14.8000001907
1684098377249141904,-1.39999997616
1684098377287556821,-0.20000000298
1684098377320804968,6.0
1684098377359506190,8.39999961853
1684098377396246254,0.0
1684098377434004307,6.40000009537
1684098377470666032,3.20000004768
1684098377507787429,-3.79999995232
1684098377543166155,-5.19999980927
1684098377576790392,-7.19999980927
1684098377613051617,-11.6000003815
1684098377648058803,-4.80000019073
1684098377684392031,-0.40000000596
1684098377725940022,1.79999995232
1684098377757534372,5.19999980927
1684098377799935924,11.1999998093
1684098377831868702,6.80000019073
1684098377870203862,18.3999996185
1684098377885646156,30.7999992371
1684098377909654575,31.0
1684098377937313645,34.0
1684098377973867080,33.0
1684098378008516729,17.7999992371
1684098378031906661,4.19999980927
1684098378058359566,5.40000009537
1684098378090729550,0.40000000596
1684098378120733891,0.600000023842
1684098378151010647,2.79999995232
1684098378183581873,6.19999980927
1684098378204983966,5.40000009537
1684098378232181662,5.0
1684098378253065665,5.19999980927
1684098378274097844,6.0
1684098378295660115,5.59999990463
1684098378321639921,6.40000009537
1684098378339890435,8.39999961853
1684098378364920567,6.0
1684098378388352993,2.20000004768
1684098378412012078,0.40000000596
1684098378440085406,-2.0
1684098378477225705,-4.0
1684098378520122248,-5.80000019073
1684098378550481536,-6.0
1684098378574596889,-6.80000019073
1684098378595107788,-7.19999980927
1684098378632463812,-7.40000009537
1684098378664242983,-6.80000019073
1684098378690783956,-4.59999990463
1684098378717525293,-3.59999990463
1684098378747824333,-2.59999990463
1684098378777025477,-1.60000002384
1684098378808082653,0.600000023842
1684098378848810860,1.79999995232
1684098378875710717,2.0
1684098378902840798,2.40000009537
1684098378937869373,2.20000004768
1684098378965397229,2.59999990463
1684098378989719275,2.40000009537
1684098379017968703,2.79999995232
1684098379052967455,4.40000009537
1684098379082973989,6.40000009537
1684098379113722145,7.80000019073
1684098379137502581,8.39999961853
1684098379168256145,10.3999996185
1684098379201321618,10.0
1684098379231435981,10.8000001907
1684098379262603891,10.8000001907
1684098379296798072,12.6000003815
1684098379326848950,12.3999996185
1684098379367134105,15.1999998093
1684098379399105248,15.0
1684098379434157004,15.8000001907
1684098379465152938,14.8000001907
1684098379495287054,14.6000003815
1684098379509985957,13.3999996185
1684098379534167291,14.6000003815
1684098379576740036,13.1999998093
1684098379604099353,14.0
1684098379642567280,16.7999992371
1684098379668293386,19.0
1684098379695276045,20.0
1684098379728503021,23.2000007629
1684098379755145426,23.3999996185
1684098379783189844,22.6000003815
1684098379812700955,23.3999996185
1684098379849697251,23.3999996185
1684098379886703879,24.0
1684098379925291242,23.7999992371
1684098379951204169,25.7999992371
1684098379989694911,25.2000007629
1684098380019117286,24.6000003815
1684098380052878843,22.7999992371
1684098380088580628,21.7999992371
1684098380119224870,20.0
1684098380147203266,20.3999996185
1684098380180917895,19.2000007629
1684098380214687083,19.0
1684098380249410018,20.0
1684098380282588397,20.0
1684098380314829835,17.3999996185
1684098380346086078,17.7999992371
1684098380382595839,16.2000007629
1684098380415726538,14.8000001907
1684098380448230566,11.3999996185
1684098380482303978,8.80000019073
1684098380515505258,5.59999990463
1684098380548092466,3.59999990463
1684098380585197160,0.0
1684098380617631823,-1.79999995232
1684098380652309869,-3.0
1684098380682006117,-4.59999990463
1684098380716325876,-5.19999980927
1684098380748700232,-5.0
1684098380780312551,-5.40000009537
1684098380816822353,-6.80000019073
1684098380854758956,-6.80000019073
1684098380887014953,-8.60000038147
1684098380914014664,-9.80000019073
1684098380946848847,-11.1999998093
1684098380982373825,-12.3999996185
1684098381015150510,-14.0
1684098381048031171,-13.6000003815
1684098381084971285,-12.8000001907
1684098381118642511,-11.1999998093
1684098381148353588,-9.0
1684098381180487442,-8.39999961853
1684098381215080318,-7.80000019073
1684098381249313490,-8.39999961853
1684098381281677126,-10.0
1684098381319765804,-11.6000003815
1684098381351593972,-13.3999996185
1684098381383475291,-14.1999998093
1684098381415608000,-14.0
1684098381449787528,-13.3999996185
1684098381483894340,-11.1999998093
1684098381518399742,-7.80000019073
1684098381551285122,-6.19999980927
1684098381582271641,-3.79999995232
1684098381614888730,-1.60000002384
1684098381648359526,-1.0
1684098381683473124,-0.800000011921
1684098381716721199,-0.800000011921
1684098381750147632,-1.39999997616
1684098381780668608,-1.39999997616
1684098381818639641,-0.800000011921
1684098381855369081,0.0
1684098381891315463,1.0
1684098381920817493,1.20000004768
1684098381949923922,1.39999997616
1684098381981454038,1.60000002384
1684098382017070717,2.79999995232
1684098382052549221,2.59999990463
1684098382086362493,4.19999980927
1684098382119546928,5.80000019073
1684098382150681344,7.80000019073
1684098382185506987,9.0
1684098382215520106,11.6000003815
1684098382250570034,12.0
1684098382285424951,10.8000001907
1684098382325186525,9.19999980927
1684098382349980396,8.80000019073
1684098382381369710,9.19999980927
1684098382415453104,11.6000003815
1684098382451059069,13.1999998093
1684098382483210553,14.8000001907
1684098382514684365,15.3999996185
1684098382549613643,15.0
1684098382582229952,13.0
1684098382620654779,13.3999996185
1684098382649387576,16.6000003815
1684098382683509332,17.6000003815
1684098382716059775,18.7999992371
1684098382748948668,20.3999996185
1684098382782485126,21.7999992371
1684098382812748897,19.7999992371
1684098382855853165,20.3999996185
1684098382884513582,21.2000007629
1684098382915643742,23.6000003815
1684098382953139559,24.7999992371
1684098382987263621,26.3999996185
1684098383021107530,26.3999996185
1684098383051364542,25.7999992371
1684098383081960755,23.7999992371
1684098383114921387,22.2000007629
1684098383149719814,21.6000003815
1684098383182843840,21.3999996185
1684098383216609799,22.3999996185
1684098383253114603,22.3999996185
1684098383291000606,23.2000007629
1684098383322643871,20.7999992371
1684098383348273094,20.2000007629
1684098383384908723,19.2000007629
1684098383414733629,18.6000003815
